Date,Symbol,Coin,Volume,Price,Market Cap
2014-02-02,btc,Bitcoin,19347600.0,836.41,10323662258.0
2014-02-03,btc,Bitcoin,12759200.0,813.38,10043290888.0
2014-02-04,btc,Bitcoin,14823400.0,832.36,10281144248.0
2014-02-05,btc,Bitcoin,15706200.0,830.92,10267242207.0
2014-02-06,btc,Bitcoin,47441900.0,805.08,9951171213.0
2014-02-07,btc,Bitcoin,65733100.0,721.32,8918941470.0
2014-02-08,btc,Bitcoin,86940400.0,701.61,8678266711.0
2014-02-09,btc,Bitcoin,34864400.0,672.07,8315656524.0
2014-02-10,btc,Bitcoin,38527400.0,689.65,8535556672.0
2014-02-11,btc,Bitcoin,121884000.0,697.76,8638931672.0
2014-02-12,btc,Bitcoin,65970400.0,655.26,8115968452.0
2014-02-13,btc,Bitcoin,19109100.0,651.91,8077474557.0
2014-02-14,btc,Bitcoin,90917600.0,623.57,7729134561.0
2014-02-15,btc,Bitcoin,57350800.0,644.1,7986582360.0
2014-02-16,btc,Bitcoin,24104900.0,613.85,7614456286.0
2014-02-17,btc,Bitcoin,48516100.0,645.14,8005429360.0
2014-02-18,btc,Bitcoin,22066400.0,625.01,7758139753.0
2014-02-19,btc,Bitcoin,13276100.0,620.99,7711283048.0
2014-02-20,btc,Bitcoin,35743400.0,593.89,7377405511.0
2014-02-21,btc,Bitcoin,56059000.0,582.75,7241455462.0
2014-02-22,btc,Bitcoin,21675800.0,571.06,7098404288.0
2014-02-23,btc,Bitcoin,44590700.0,622.97,7746491782.0
2014-02-24,btc,Bitcoin,47229500.0,572.39,7120130927.0
2014-02-25,btc,Bitcoin,111102000.0,489.31,6088839080.0
2014-02-26,btc,Bitcoin,75039300.0,567.25,7061198906.0
2014-02-27,btc,Bitcoin,38219000.0,586.28,7300959497.0
2014-02-28,btc,Bitcoin,24649000.0,567.2,7065922360.0
2014-03-01,btc,Bitcoin,22903800.0,560.11,6979712746.0
2014-03-02,btc,Bitcoin,11143900.0,561.35,6997269851.0
2014-03-03,btc,Bitcoin,33049800.0,585.79,7304054418.0
2014-03-04,btc,Bitcoin,86124600.0,675.0,8418886875.0
2014-03-05,btc,Bitcoin,26946700.0,658.24,8212712376.0
2014-03-06,btc,Bitcoin,16659800.0,654.55,8169324004.0
2014-03-07,btc,Bitcoin,29823000.0,617.62,7711032022.0
2014-03-08,btc,Bitcoin,21353000.0,610.37,7623170337.0
2014-03-09,btc,Bitcoin,15489000.0,636.17,7947989895.0
2014-03-10,btc,Bitcoin,16425700.0,621.17,7763134192.0
2014-03-11,btc,Bitcoin,12542300.0,624.23,7803983008.0
2014-03-12,btc,Bitcoin,20806300.0,638.07,7979719372.0
2014-03-13,btc,Bitcoin,12866600.0,639.03,7994472985.0
2014-03-14,btc,Bitcoin,11939800.0,629.67,7879611671.0
2014-03-15,btc,Bitcoin,5963930.0,638.07,7987471922.0
2014-03-16,btc,Bitcoin,4834240.0,629.55,7883319532.0
2014-03-17,btc,Bitcoin,13371500.0,623.705,7812934238.0
2014-03-18,btc,Bitcoin,23217800.0,612.622,7676276184.0
2014-03-19,btc,Bitcoin,15227500.0,610.636,7653772688.0
2014-03-20,btc,Bitcoin,20048500.0,592.07,7423640092.0
2014-03-21,btc,Bitcoin,38053400.0,582.303,7303695511.0
2014-03-22,btc,Bitcoin,17983700.0,561.22,7041711523.0
2014-03-23,btc,Bitcoin,10283000.0,567.779,7127031703.0
2014-03-24,btc,Bitcoin,17185800.0,571.418,7175538679.0
2014-03-25,btc,Bitcoin,18634700.0,582.55,7317439677.0
2014-03-26,btc,Bitcoin,17583200.0,584.442,7343002343.0
2014-03-27,btc,Bitcoin,22316700.0,567.64,7133333206.0
2014-03-28,btc,Bitcoin,79571600.0,503.661,6331497248.0
2014-03-29,btc,Bitcoin,26810900.0,502.30199999999996,6317113200.0
2014-03-30,btc,Bitcoin,17867800.0,469.93800000000005,5912148997.0
2014-03-31,btc,Bitcoin,56838500.0,457.399,5756309240.0
2014-04-01,btc,Bitcoin,35685800.0,478.7163,6023351178.0
2014-04-02,btc,Bitcoin,49647600.0,437.515,5506313797.0
2014-04-03,btc,Bitcoin,40765500.0,447.0822,5604036051.0
2014-04-04,btc,Bitcoin,22925500.0,448.8792,5641613449.0
2014-04-05,btc,Bitcoin,13404500.0,464.8259,5824866676.0
2014-04-06,btc,Bitcoin,10241400.0,460.7028,5808861023.0
2014-04-07,btc,Bitcoin,9802770.0,457.792,5775641210.0
2014-04-08,btc,Bitcoin,10921600.0,450.4638,5718579640.0
2014-04-09,btc,Bitcoin,13204400.0,440.1983,5589580215.0
2014-04-10,btc,Bitcoin,55868300.0,360.8407,4611917257.0
2014-04-11,btc,Bitcoin,62562800.0,420.0563,5318033925.0
2014-04-12,btc,Bitcoin,19226500.0,420.66,5321874506.0
2014-04-13,btc,Bitcoin,22493500.0,414.9495,5234667259.0
2014-04-14,btc,Bitcoin,50730200.0,457.6338,5802302128.0
2014-04-15,btc,Bitcoin,49561000.0,520.1233,6522974948.0
2014-04-16,btc,Bitcoin,56480100.0,529.1625,6674473792.0
2014-04-17,btc,Bitcoin,34025500.0,494.4,6278792387.0
2014-04-18,btc,Bitcoin,19042400.0,478.2312,6074116360.0
2014-04-19,btc,Bitcoin,19588200.0,501.5515,6353700029.0
2014-04-20,btc,Bitcoin,12103100.0,497.3177,6312896984.0
2014-04-21,btc,Bitcoin,15171400.0,492.6733,6284666435.0
2014-04-22,btc,Bitcoin,9770190.335015288,484.8533,6187034895.0
2014-04-23,btc,Bitcoin,8412033.043193607,487.525,6231920621.0
2014-04-24,btc,Bitcoin,9512215.003743047,494.2733,6350012525.0
2014-04-25,btc,Bitcoin,44062361.80745845,458.8067,5857079867.0
2014-04-26,btc,Bitcoin,11997979.867558924,453.8,5822776642.0
2014-04-27,btc,Bitcoin,9760121.834963577,437.9216,5542720307.0
2014-04-28,btc,Bitcoin,20781687.97683261,436.92,5593864954.0
2014-04-29,btc,Bitcoin,15011935.551518673,443.27,5683724524.0
2014-04-30,btc,Bitcoin,13054745.683608102,444.9968,5690810165.0
2014-05-01,btc,Bitcoin,11953625.134976296,455.0913,5821425472.0
2014-05-02,btc,Bitcoin,8165770.147874059,443.4734,5716625927.0
2014-05-03,btc,Bitcoin,9446958.635517636,434.0333,5570422954.0
2014-05-04,btc,Bitcoin,5229830.630972039,433.9432,5554777406.0
2014-05-05,btc,Bitcoin,8567756.392353557,429.0761,5518951942.0
2014-05-06,btc,Bitcoin,10822749.124633348,426.7634,5463474513.0
2014-05-07,btc,Bitcoin,16360711.036365217,439.3,5590798951.0
2014-05-08,btc,Bitcoin,8491458.546028852,437.3633,5609810850.0
2014-05-09,btc,Bitcoin,8820053.293163313,447.4933,5730133343.0
2014-05-10,btc,Bitcoin,5529665.186791251,452.505,5795543101.0
2014-05-11,btc,Bitcoin,11522907.034093864,436.2833,5598956479.0
2014-05-12,btc,Bitcoin,5903393.674349334,439.19,5633629021.0
2014-05-13,btc,Bitcoin,5619474.108984868,437.305,5625308533.0
2014-05-14,btc,Bitcoin,6764834.29138491,444.2467,5669111766.0
2014-05-15,btc,Bitcoin,6219944.38500291,444.25,5712906334.0
2014-05-16,btc,Bitcoin,5292980.730698652,445.165,5725217915.0
2014-05-17,btc,Bitcoin,2642092.2130057854,445.8533,5737967927.0
2014-05-18,btc,Bitcoin,7828552.781743508,444.2133,5706165793.0
2014-05-19,btc,Bitcoin,11697296.01962846,443.87,5706978471.0
2014-05-20,btc,Bitcoin,59415447.48292022,483.4167,6214911439.0
2014-05-21,btc,Bitcoin,20125942.252461053,488.7717,6294422409.0
2014-05-22,btc,Bitcoin,28758404.007310245,522.6083,6716604600.0
2014-05-23,btc,Bitcoin,30253343.70043255,524.475,6662964359.0
2014-05-24,btc,Bitcoin,10236386.684289353,523.1083,6727963028.0
2014-05-25,btc,Bitcoin,43762384.55551313,569.3767,7325371780.0
2014-05-26,btc,Bitcoin,26174591.715237826,579.6217,7479335238.0
2014-05-27,btc,Bitcoin,33059214.23635299,569.475,7325147499.0
2014-05-28,btc,Bitcoin,15739188.285988353,571.5533,7402205099.0
2014-05-29,btc,Bitcoin,14362990.94411866,565.26,7290260762.0
2014-05-30,btc,Bitcoin,42271699.63749006,621.1467,7897757908.0
2014-05-31,btc,Bitcoin,18656368.10083591,620.5,8007248676.0
2014-06-01,btc,Bitcoin,53565199.67924263,640.1617,8094125581.0
2014-06-02,btc,Bitcoin,41153743.55147136,656.41,8487587033.0
2014-06-03,btc,Bitcoin,37419432.11298669,667.3683,8580309812.0
2014-06-04,btc,Bitcoin,43722721.85640881,641.1833,8249183077.0
2014-06-05,btc,Bitcoin,24809749.5691626,658.1,8478552324.0
2014-06-06,btc,Bitcoin,14032413.366677402,648.63,8409353268.0
2014-06-07,btc,Bitcoin,12954147.496912882,651.7083,8428206589.0
2014-06-08,btc,Bitcoin,6819173.803153492,649.8983,8445489607.0
2014-06-09,btc,Bitcoin,15165258.001682784,643.905,8290260777.375
2014-06-10,btc,Bitcoin,13698528.103743393,649.0567,8359493314.815
2014-06-11,btc,Bitcoin,20706208.81438605,630.0367,8116778557.0175
2014-06-12,btc,Bitcoin,41032286.05220322,567.175,7309311839.375
2014-06-13,btc,Bitcoin,37950646.15191905,594.6833,7666330027.785
2014-06-14,btc,Bitcoin,33752601.59059282,570.0033,7350662806.2225
2014-06-15,btc,Bitcoin,19377536.876052536,583.41,7526353631.25
2014-06-16,btc,Bitcoin,25803391.33062935,592.52,7646618730.0
